camis,dba,boro,building,street,zipcode,phone,inspection_date,critical_flag,record_date,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,location,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,cuisine_description,action,violation_code,violation_description,score,grade,grade_date,inspection_type
50152777,ORION BAR,Brooklyn,159 B,CENTRAL AVE,,8183378510,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,0,0,,,,,3,,,,,,,,,,,,,,
50174103,MRS. GEORGIA,Queens,37-10,31 AVENUE,11103,2016831717,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.761975771322,-73.918515347394,401,22,006100,4616398,4006570041,QN70,"{'type': 'Point', 'coordinates': [-73.918515347394, 40.761975771322]}",39,3,72,4,,,,,,,,
50182455,WONDER,Queens,71-14,AUSTIN STREET,11375,9088086982,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.719958983972,-73.844262278554,406,29,073700,4077913,4032550008,QN17,"{'type': 'Point', 'coordinates': [-73.844262278554, 40.719958983972]}",40,3,70,28,,,,,,,,
50180621,TATTE BAKERY & CAFE,Manhattan,315,PARK AVENUE SOUTH,10010,6174131406,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.740602952637,-73.986045291374,105,02,006800,1018063,1008790081,MN21,"{'type': 'Point', 'coordinates': [-73.986045291374, 40.740602952637]}",11,4,7,50,,,,,,,,
50184858,NGON VIETNAMESE KITCHEN,Manhattan,85,2 AVENUE,10003,2128371779,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.726687323112,-73.989060820459,103,02,003800,1077717,1004600034,MN22,"{'type': 'Point', 'coordinates': [-73.989060820459, 40.726687323112]}",70,4,5,50,,,,,,,,
50178653,LUCKIN COFFEE,Manhattan,147,3 AVENUE,10003,6502168617,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.734064991185,-73.986598737278,106,02,004800,1019523,1008970001,MN21,"{'type': 'Point', 'coordinates': [-73.986598737278, 40.734064991185]}",71,4,7,50,,,,,,,,
50183022,MAGM HOSPITALITY,Queens,159-03,HILLSIDE AVENUE,11432,3479719107,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.70776025564,-73.802638547378,408,24,044602,4209071,4097690101,QN61,"{'type': 'Point', 'coordinates': [-73.802638547378, 40.70776025564]}",25,3,65,24,,,,,,,,
50184483,LATOYA'S KITCHEN INC,Manhattan,2492,ADAM CLAYTON POWELL JR BOULEVARD,,5166437728,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,0,0,,,,,1,,,,,,,,,,,,,,
50171791,UZ Doner Inc.,Brooklyn,472,KINGS HIGHWAY,11223,3474295842,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.60420708179,-73.972461129994,311,44,041200,3178499,3066800005,BK29,"{'type': 'Point', 'coordinates': [-73.972461129994, 40.60420708179]}",1,2,37,18,,,,,,,,
50162316,PARISH PO' BOYS LLC,Manhattan,42,BROADWAY,10004,9175823432,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.706263297358,-74.012908734166,101,01,000900,1000812,1000220020,MN25,"{'type': 'Point', 'coordinates': [-74.012908734166, 40.706263297358]}",56,4,1,32,,,,,,,,
40400311,"WILLIAMS, TRISHA",Bronx,106,EAST  183 STREET,10453,,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.858001274794,-73.901684815518,205,14,023704,2013866,2031710019,BX40,"{'type': 'Point', 'coordinates': [-73.901684815518, 40.858001274794]}",6,5,29,29,,,,,,,,
50164737,6 NYC,Brooklyn,481,COURT STREET,11231,7187661112,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.67638167136,-73.998763424339,306,39,007700,3008113,3004740010,BK33,"{'type': 'Point', 'coordinates': [-73.998763424339, 40.67638167136]}",14,2,48,27,,,,,,,,
50053023,LA DULCE II BAKERY,Queens,8710A,LEFFERTS BOULEVARD,,7188802441,2024-02-16T00:00:00.000,Critical,2026-05-07T06:00:13.000,0,0,,29,012200,,4,,,,,,,Bakery Products/Desserts,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,24,B,2024-02-16T00:00:00.000,Cycle Inspection / Re-inspection
50159252,CROSSROAD BROOKLYN,Brooklyn,752,CONEY ISLAND AVENUE,11218,6463024102,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.639210374174,-73.96878942007,312,39,049200,3126333,3053780044,BK41,"{'type': 'Point', 'coordinates': [-73.96878942007, 40.639210374174]}",2,2,39,11,,,,,,,,
50185394,SPRINGBONE 465 LEXINGTON LLC,Manhattan,465,LEXINGTON AVENUE,10017,9173018263,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.753616615965,-73.97444924838,106,04,009200,1036187,1013000020,MN19,"{'type': 'Point', 'coordinates': [-73.97444924838, 40.753616615965]}",71,4,9,51,,,,,,,,
50173478,8 BILLIARDS AND BAR LLC,Brooklyn,4008,8 AVENUE,11232,6465933111,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.646600815185,-73.998010834056,307,38,009000,3337402,3009190036,BK34,"{'type': 'Point', 'coordinates': [-73.998010834056, 40.646600815185]}",9,2,45,7,,,,,,,,
50185074,"1977 X R FOOD, LLC",Bronx,1977,JEROME AVENUE,10453,3472251415,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.852152697147,-73.908890446498,205,14,024300,2008406,2028630054,BX36,"{'type': 'Point', 'coordinates': [-73.908890446498, 40.852152697147]}",6,5,29,29,,,,,,,,
50181320,Mr Pizza South,Staten Island,1026,ROSSVILLE AVENUE,10309,7183566400,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.552178409763,-74.212114409841,503,51,020801,5110507,5070540518,SI32,"{'type': 'Point', 'coordinates': [-74.212114409841, 40.552178409763]}",15,1,77,9,,,,,,,,
50185873,Suyo Mio Coffee,Brooklyn,560,5 AVENUE,11215,8606147994,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.665262112425,-73.989571968721,307,39,014100,3023921,3010470043,BK37,"{'type': 'Point', 'coordinates': [-73.989571968721, 40.665262112425]}",9,2,45,27,,,,,,,,
50177361,CHAR-CUTE-RIE BY BOHEMIAN PICNICS,Manhattan,151,WEST   34 STREET,10001,3475171854,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.750509164767,-73.989479170444,105,03,010900,1015219,1008100001,MN17,"{'type': 'Point', 'coordinates': [-73.989479170444, 40.750509164767]}",11,4,8,10,,,,,,,,
50174912,D KITCHEN,Bronx,462,WEST  261 STREET,10471,7329254584,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.910011880808,-73.902671237021,208,11,033700,2085482,2058800703,BX22,"{'type': 'Point', 'coordinates': [-73.902671237021, 40.910011880808]}",48,5,33,40,,,,,,,,
50167295,MATCHA 108,Manhattan,108,MADISON STREET,10002,6107629374,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.712217329252,-73.995202526992,103,01,000800,1003312,1002760035,MN27,"{'type': 'Point', 'coordinates': [-73.995202526992, 40.712217329252]}",70,4,2,32,,,,,,,,
50182343,UWS COLUMBUS LLC,Manhattan,516,COLUMBUS AVENUE,10024,6466783010,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.785658517712,-73.97278662442,107,06,016900,1032130,1012150033,MN12,"{'type': 'Point', 'coordinates': [-73.97278662442, 40.785658517712]}",20,4,12,19,,,,,,,,
50185478,COFFEE T LLC,Manhattan,637,10 AVENUE,10036,9342041357,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.761702617539,-73.993968002735,104,03,012900,1079252,1010740029,MN15,"{'type': 'Point', 'coordinates': [-73.993968002735, 40.761702617539]}",12,4,10,10,,,,,,,,
50185226,SABINA ALIZADE,Brooklyn,1915,AVENUE U,11229,7186180155,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.599284547144,-73.952308380597,315,48,057800,3198276,3073240048,BK44,"{'type': 'Point', 'coordinates': [-73.952308380597, 40.599284547144]}",32,2,36,15,,,,,,,,
50146994,MANGOS 960,Brooklyn,960,3 AVENUE,11232,3476059623,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.655213753083,-74.006757553487,307,38,000200,3010309,3006950042,BK32,"{'type': 'Point', 'coordinates': [-74.006757553487, 40.655213753083]}",9,2,45,7,,,,,,,,
50183079,322 BAR LLC,Manhattan,322,EAST  116 STREET,10029,9179857711,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.796661890949,-73.937004446828,111,08,018800,1052924,1016870041,MN34,"{'type': 'Point', 'coordinates': [-73.937004446828, 40.796661890949]}",7,4,16,35,,,,,,,,
50157670,NEW SPICY HOUSE INC,Queens,133-35,ROOSEVELT AVENUE,11354,6468296678,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.758501995257,-73.833241808988,407,20,087100,4112276,4049730016,QN22,"{'type': 'Point', 'coordinates': [-73.833241808988, 40.758501995257]}",22,3,67,3,,,,,,,,
50161639,CRISPY CHICK,Manhattan,20,UNION SQUARE WEST,10003,6466078306,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.736609791786,-73.990679378381,105,02,005200,1016108,1008450002,MN13,"{'type': 'Point', 'coordinates': [-73.990679378381, 40.736609791786]}",11,4,7,50,,,,,,,,
50150734,TASTE OF CHINA,Queens,45-01,BROADWAY,11103,7189094926,2026-04-22T00:00:00.000,Not Applicable,2026-05-07T06:00:13.000,40.757040798498,-73.914879360739,401,22,015300,4012532,4007110007,QN70,"{'type': 'Point', 'coordinates': [-73.914879360739, 40.757040798498]}",39,3,72,33,Chinese,No violations were recorded at the time of this inspection.,,,,,,Administrative Miscellaneous / Initial Inspection
50044599,HOT DOG CONCESSION,Manhattan,4,PENN PLAZA,10121,2124656273,2025-02-01T00:00:00.000,Not Applicable,2026-05-07T06:00:13.000,40.750654836632,-73.991944239076,105,03,010100,1082908,1007810001,MN17,"{'type': 'Point', 'coordinates': [-73.991944239076, 40.750654836632]}",11,4,8,10,Hotdogs/Pretzels,No violations were recorded at the time of this inspection.,,,0,A,2025-02-01T00:00:00.000,Cycle Inspection / Initial Inspection
50177143,STE AND SAVORY,0,2,PARK AVE,10538,3477822433,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,,,,,,,,,,,,,,,,,,,,,
50185323,CENTURION SENIOR ADULT DAY CARE INC.,Queens,42-61,SAULL STREET,11355,9293833675,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.7529136324,-73.829491309361,407,20,079702,4620890,4051230098,QN22,"{'type': 'Point', 'coordinates': [-73.829491309361, 40.7529136324]}",22,3,67,3,,,,,,,,
50129735,STREET VEGAN LLC,Manhattan,1802,65TH STREET TRANSVERVSE,,9172151616,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,0,0,,,,,1,,,,,,,,,,,,,,
50179517,DUKE EATERY,Manhattan,300,PARK AVENUE,10022,2126257777,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.756795007987,-73.974271156741,105,04,010200,1081146,1012850036,MN17,"{'type': 'Point', 'coordinates': [-73.974271156741, 40.756795007987]}",11,4,10,51,,,,,,,,
50098181,XAVI'S CORNER,Bronx,301,WEST TREMONT AVENUE,10453,9176977544,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.853684483589,-73.920271426933,205,16,024700,2009254,2028820216,BX36,"{'type': 'Point', 'coordinates': [-73.920271426933, 40.853684483589]}",6,5,29,42,,,,,,,,
50184960,TRAVESIAS THROGS NECK CORP,Bronx,3834,EAST TREMONT AVENUE,10465,2627442011,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.824480101572,-73.82028857504,210,13,015200,2080401,2055620153,BX52,"{'type': 'Point', 'coordinates': [-73.82028857504, 40.824480101572]}",43,5,28,12,,,,,,,,
50154684,PINTEREST,Manhattan,225,PARK AVENUE SOUTH,10003,7043286229,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.737358906912,-73.988423967616,105,02,005000,1017861,1008740001,MN21,"{'type': 'Point', 'coordinates': [-73.988423967616, 40.737358906912]}",11,4,7,50,,,,,,,,
50183575,TENDERS,Brooklyn,318,BEDFORD AVENUE,11249,4348413385,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.713525853597,-73.961926069844,301,34,055100,3062942,3024050026,BK73,"{'type': 'Point', 'coordinates': [-73.961926069844, 40.713525853597]}",36,2,56,30,,,,,,,,
50179394,MUNCHY MUNCHY CORP.,Manhattan,WEST 59 ST,COLUMBUS CIRCLE,10023,6466372137,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,,,,,,,,,,,,,,,,,,,,,
50164908,"FOODA, INC",Manhattan,1515,BROADWAY,10036,2144035379,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.7576286762,-73.985803477709,105,03,011900,1024714,1010160036,MN17,"{'type': 'Point', 'coordinates': [-73.985803477709, 40.7576286762]}",11,4,8,10,,,,,,,,
50179641,TACO MAHAL,Manhattan,1109,LEXINGTON AVENUE,10075,2019258420,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.773912592614,-73.95964208374,108,04,014000,1043222,1014120120,MN40,"{'type': 'Point', 'coordinates': [-73.95964208374, 40.773912592614]}",23,4,11,51,,,,,,,,
41704348,B&H DAIRY,Manhattan,127,SECOND AVENUE,10003,2125058065,2024-05-22T00:00:00.000,Not Applicable,2026-05-07T06:00:13.000,40.728353274395,-73.987851866135,103,02,003800,1006679,1004630031,MN22,"{'type': 'Point', 'coordinates': [-73.987851866135, 40.728353274395]}",70,4,5,50,Jewish/Kosher,No violations were recorded at the time of this inspection.,,,,,,Administrative Miscellaneous / Initial Inspection
50106017,FRANCIE,Brooklyn,134,BROADWAY,11249,7182187572,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.710315195705,-73.964167869953,301,34,054900,3059515,3021310018,BK73,"{'type': 'Point', 'coordinates': [-73.964167869953, 40.710315195705]}",36,2,56,30,,,,,,,,
50177666,ENSO,Brooklyn,192,AMITY STREET,11201,3474220622,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.688485950799,-73.993498681611,306,39,004500,3003168,3002970024,BK33,"{'type': 'Point', 'coordinates': [-73.993498681611, 40.688485950799]}",14,2,48,27,,,,,,,,
50168735,SANGIZAR,Brooklyn,1371,CONEY ISLAND AVENUE,11230,6467058303,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.624121218413,-73.965039259048,314,44,053400,3179862,3067130077,BK43,"{'type': 'Point', 'coordinates': [-73.965039259048, 40.624121218413]}",60,2,43,18,,,,,,,,
50182213,Islander Taste,Staten Island,645,ROSSVILLE AVENUE,10309,7182277630,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.54235091781,-74.208236910242,503,51,020801,5079745,5061450040,SI32,"{'type': 'Point', 'coordinates': [-74.208236910242, 40.54235091781]}",15,1,77,9,,,,,,,,
50182448,ROLLCRAFT,Manhattan,77,EAST   10 STREET,10003,2018931848,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.731144911901,-73.990041502972,103,02,004200,1008968,1005560001,MN22,"{'type': 'Point', 'coordinates': [-73.990041502972, 40.731144911901]}",70,4,5,50,,,,,,,,
50168532,SNO BAR,Queens,142-51,ROCKAWAY BOULEVARD,11436,7188206733,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.673970427322,-73.79701770138,412,28,018200,4261338,4120390075,QN76,"{'type': 'Point', 'coordinates': [-73.79701770138, 40.673970427322]}",41,3,71,46,,,,,,,,
50177498,TU GUSTO,Manhattan,1635,SAINT NICHOLAS AVENUE,10040,6464070120,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.855987463098,-73.92886139455,112,10,027900,1064028,1021690029,MN35,"{'type': 'Point', 'coordinates': [-73.92886139455, 40.855987463098]}",47,4,22,39,,,,,,,,
50133170,PINK TACO,Manhattan,7,TIMES SQUARE,10036,2122652000,2024-09-09T00:00:00.000,Not Applicable,2026-05-07T06:00:13.000,40.755907817312,-73.986680953809,105,03,011300,1086069,1009940001,MN17,"{'type': 'Point', 'coordinates': [-73.986680953809, 40.755907817312]}",11,4,8,10,Mexican,No violations were recorded at the time of this inspection.,,,0,,,Inter-Agency Task Force / Initial Inspection
50160364,LOKAL ARTISAN FOODS,Manhattan,42,WEST   42 STREET,10036,6467338989,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.754068239421,-73.982321170752,105,04,008400,1000000,1012570002,MN17,"{'type': 'Point', 'coordinates': [-73.982321170752, 40.754068239421]}",11,4,8,51,,,,,,,,
50174791,STUFFED NYC PIZZA,Bronx,3073,BAILEY AVENUE,10463,3478637385,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.877544714923,-73.902823815109,208,14,027700,2016135,2032660124,BX28,"{'type': 'Point', 'coordinates': [-73.902823815109, 40.877544714923]}",48,5,33,29,,,,,,,,
50184777,BY ANTIDOTE,Manhattan,30,EAST   20 STREET,10003,9176670036,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.738928989386,-73.989221188693,105,02,005200,1016181,1008480053,MN13,"{'type': 'Point', 'coordinates': [-73.989221188693, 40.738928989386]}",11,4,7,50,,,,,,,,
50177661,THE NEST,Brooklyn,171,NORTH    3 STREET,11211,9147150809,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.715328421135,-73.959742624564,301,34,055300,3421592,3023527501,BK73,"{'type': 'Point', 'coordinates': [-73.959742624564, 40.715328421135]}",36,2,57,30,,,,,,,,
50165995,ENSO OMAKASE,Manhattan,117,BERRY ST,,7183847288,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,0,0,,,,,1,,,,,,,,,,,,,,
50180168,LA CASA MIA,Brooklyn,1420,SHEEPSHEAD BAY ROAD,11235,9297528126,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.587482893738,-73.954606669972,315,48,060600,3204917,3074590016,BK17,"{'type': 'Point', 'coordinates': [-73.954606669972, 40.587482893738]}",32,2,36,15,,,,,,,,
50185155,99 CENTS DELICIOUS PIZZA 4 INC,Manhattan,974,6 AVENUE,10018,6465756046,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.750926107695,-73.986941817996,105,04,008400,1015918,1008370089,MN17,"{'type': 'Point', 'coordinates': [-73.986941817996, 40.750926107695]}",11,4,8,51,,,,,,,,
40536414,LA CABANA,Brooklyn,106264,FLATBUSH AVENUE,,7182870248,2023-11-14T00:00:00.000,Critical,2026-05-07T06:00:13.000,0,0,,,,,3,,,,,,,Latin American,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,69,C,2023-11-14T00:00:00.000,Cycle Inspection / Re-inspection
50183605,BOULEVARD CAKE INC,Staten Island,2018,HYLAN BOULEVARD,10306,3477310588,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.580856178983,-74.098902835692,502,50,011201,5155099,5036680001,SI36,"{'type': 'Point', 'coordinates': [-74.098902835692, 40.580856178983]}",30,1,76,14,,,,,,,,
50162887,A&S CATERERS,Staten Island,3135,VICTORY BOULEVARD,10314,6466377287,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.607018909176,-74.163979804,502,50,029103,5036647,5022360125,SI05,"{'type': 'Point', 'coordinates': [-74.163979804, 40.607018909176]}",30,1,75,14,,,,,,,,
50173920,COMPTON'S,Manhattan,123,1 AVENUE,10003,9147748636,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.727279800873,-73.985524940599,103,02,003800,1006337,1004490034,MN22,"{'type': 'Point', 'coordinates': [-73.985524940599, 40.727279800873]}",70,4,5,50,,,,,,,,
50047418,CHEZ MATY ET SOKHNA,Manhattan,2249,ADAM CLAYTON POWELL JR BOULEVARD,,2123685005,2023-05-04T00:00:00.000,Critical,2026-05-07T06:00:13.000,0,0,,,,,1,,,,,,,African,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,27,B,2023-05-04T00:00:00.000,Cycle Inspection / Re-inspection
50182741,RAFA FROM PREMIUM INC,Brooklyn,1222,LIBERTY AVENUE,11208,7183654058,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.679010035564,-73.863956819273,305,37,118800,3094523,3042060018,BK83,"{'type': 'Point', 'coordinates': [-73.863956819273, 40.679010035564]}",45,2,47,37,,,,,,,,
50176336,AFG HOSPITALITY LLC,Manhattan,216,AVENUE A,10009,9295034272,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.729952487577,-73.980671481665,103,02,003400,1084891,1004077501,MN22,"{'type': 'Point', 'coordinates': [-73.980671481665, 40.729952487577]}",70,4,5,50,,,,,,,,
50103157,Ouaga,Manhattan,2280,ADAM CLAYTON POWELL JR BOULEVARD,,9174637042,2023-06-17T00:00:00.000,Critical,2026-05-07T06:00:13.000,0,0,,,,,1,,,,,,,Bottled Beverages,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,11,A,2023-06-17T00:00:00.000,Cycle Inspection / Initial Inspection
50174186,BAR REVE,Brooklyn,222,SMITH STREET,11231,2678854720,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.684080511705,-73.992265999387,306,39,006900,3006512,3004080037,BK38,"{'type': 'Point', 'coordinates': [-73.992265999387, 40.684080511705]}",14,2,48,38,,,,,,,,
50181938,The Old standard,Brooklyn,2128,FLATBUSH AVENUE,11234,5166331313,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.618087010861,-73.931929090626,318,46,065000,3219588,3078660076,BK58,"{'type': 'Point', 'coordinates': [-73.931929090626, 40.618087010861]}",5,2,38,8,,,,,,,,
50174804,PYO CHAI,Queens,28-23,STEINWAY STREET,11103,5162162015,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.765211218107,-73.91390139679,401,22,014700,4010781,4006630011,QN70,"{'type': 'Point', 'coordinates': [-73.91390139679, 40.765211218107]}",39,3,72,4,,,,,,,,
50160505,STARBUCKS # 1955,Manhattan,0,JFK INTERNATIONAL AIRPORT,,2299392549,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,0,0,,,,,1,,,,,,,,,,,,,,
50110965,THE BARONESS,Queens,47-18,VERNON BOULEVARD,11101,7182551336,2026-04-23T00:00:00.000,Not Applicable,2026-05-07T06:00:13.000,40.744947518794,-73.953369381544,402,26,000700,4000058,4000290001,QN31,"{'type': 'Point', 'coordinates': [-73.953369381544, 40.744947518794]}",53,3,66,33,American,No violations were recorded at the time of this inspection.,,,,,,Administrative Miscellaneous / Initial Inspection
50173603,ALL BURU,Brooklyn,64,LAFAYETTE AVENUE,11217,9293696565,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.687094632588,-73.975365458994,302,35,003500,3059298,3021160012,BK68,"{'type': 'Point', 'coordinates': [-73.975365458994, 40.687094632588]}",68,2,55,48,,,,,,,,
50173445,DESIGNLY INC,Brooklyn,135,KENT AVENUE,11249,7186197302,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.719674288678,-73.96239152253,301,33,055500,3062155,3023330005,BK73,"{'type': 'Point', 'coordinates': [-73.96239152253, 40.719674288678]}",36,2,57,38,,,,,,,,
